City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,soyo,-6.1349,12.3689,29.28,69,{'all': 98},1.74,AO,1681728258
74,bubaque,11.2833,-15.8333,25.86,72,{'all': 53},3.44,GW,1681728259
75,mattru,7.6244,-11.8332,29.63,67,{'all': 98},0.17,SL,1681728260
76,kupang,-10.1667,123.5833,25.32,100,{'all': 20},1.03,ID,1681728224
77,tasiilaq,65.6145,-37.6368,2.09,93,{'all': 100},9.13,GL,1681728261
78,san patricio,28.017,-97.5169,21.02,67,{'all': 0},3.05,US,1681728262
79,sakaiminato,35.55,133.2333,14.99,63,{'all': 75},1.54,JP,1681728205
80,caravelas,-17.7125,-39.2481,26.54,74,{'all': 48},1.16,BR,1681728263
81,hami,42.8,93.45,24.77,16,{'all': 58},0.1,CN,1681728263
82,wewak,-3.5534,143.6268,27.15,83,{'all': 100},3.46,PG,1681728264
83,kununurra,-15.7667,128.7333,21.99,60,{'all': 54},1.03,AU,1681728265
84,klaksvik,62.2266,-6.589,9.51,97,{'all': 98},7.73,FO,1681728265
85,ilulissat,69.2167,-51.1,-3.99,86,{'all': 100},7.2,GL,1681728266
86,kautokeino,69.0125,23.0412,0.76,96,{'all': 63},1.1,NO,1681728266
87,labuhan,-6.8844,112.2051,27.31,81,{'all': 96},3.2,ID,1681728267
88,oktyabrskoye,43.0645,44.7417,6.08,76,{'all': 100},2.0,RU,1681728268
89,ambilobe,-13.2,49.05,32.92,49,{'all': 8},1.93,MG,1681728268
90,chokurdakh,70.6333,147.9167,-20.05,100,{'all': 24},1.49,RU,1681728269
91,brae,60.3964,-1.353,10.22,77,{'all': 67},7.68,GB,1681728269
92,sao filipe,14.8961,-24.4956,23.77,79,{'all': 47},4.56,CV,1681728269
93,kaitangata,-46.2817,169.8464,13.7,70,{'all': 100},0.76,NZ,1681728270
94,hinatuan,8.3722,126.3342,26.3,83,{'all': 4},1.49,PH,1681728271
95,wencheng,33.0559,113.7978,26.76,53,{'all': 99},4.6,CN,1681728271
96,saint-joseph,-21.3667,55.6167,30.21,79,{'all': 49},2.51,RE,1681728272
97,torbay,47.6666,-52.7314,0.16,91,{'all': 100},1.34,CA,1681728273
98,wanning,18.8003,110.3967,25.93,90,{'all': 67},4.02,CN,1681728200
99,butaritari,3.0707,172.7902,27.61,80,{'all': 77},3.82,KI,1681728273
100,ponta do sol,32.6667,-17.1,23.73,68,{'all': 100},0.74,PT,1681728274
101,west bay,19.3667,-81.4167,25.56,89,{'all': 0},1.97,KY,1681728275
102,atar,20.5169,-13.0499,30.22,21,{'all': 0},2.85,MR,1681728275
103,port alfred,-33.5906,26.891,26.77,50,{'all': 2},0.45,ZA,1681728275
104,cidreira,-30.1811,-50.2056,19.81,88,{'all': 85},5.37,BR,1681728276
105,hobart,-42.8794,147.3294,11.14,76,{'all': 20},2.06,AU,1681728068
106,chuy,-33.6971,-53.4616,14.41,87,{'all': 88},3.39,UY,1681728278
107,pacific grove,36.6177,-121.9166,9.82,89,{'all': 75},2.06,US,1681728279
108,bengkulu,-3.8004,102.2655,27.21,80,{'all': 77},1.3,ID,1681728279
109,banikoara,11.2985,2.4386,37.32,28,{'all': 61},3.17,BJ,1681728153
110,matagami,49.7502,-77.6328,8.06,71,{'all': 75},2.06,CA,1681728280
111,san lazaro,18.0387,-88.6622,22.99,91,{'all': 98},1.54,BZ,1681728281
112,saint-augustin,51.226,-58.6502,1.76,67,{'all': 100},1.78,CA,1681728281
113,portland,45.5234,-122.6762,5.89,88,{'all': 33},0.89,US,1681728282
114,airai,-8.9266,125.4092,16.81,98,{'all': 100},0.83,TL,1681728282
115,luba,3.4568,8.5547,28.94,72,{'all': 79},3.12,GQ,1681728283
116,luwuk,-0.9516,122.7875,26.86,87,{'all': 100},0.35,ID,1681728283
117,atuona,-9.8,-139.0333,27.01,81,{'all': 16},7.96,PF,1681728284
118,santa maria,-29.6842,-53.8069,17.61,100,{'all': 100},0.51,BR,1681728118
119,freetown,8.484,-13.2299,26.84,78,{'all': 40},4.12,SL,1681728274
120,shimoda,34.6667,138.95,13.95,67,{'all': 1},1.97,JP,1681728020
121,senanga,-16.1167,23.2667,29.56,30,{'all': 64},3.88,ZM,1681728286
122,arrecife,28.963,-13.5477,22.99,53,{'all': 20},4.63,ES,1681728269
